"category","permissive","full_name","stars","license","language","pushed_at","url"
"automation","true","langchain-ai/langchain","128550","MIT","Python","2026-03-07T00:20:13Z","https://github.com/langchain-ai/langchain"
"automation","true","punkpeye/awesome-mcp-servers","82431","MIT","","2026-03-07T18:17:58Z","https://github.com/punkpeye/awesome-mcp-servers"
"other","false","modelcontextprotocol/servers","80426","NOASSERTION","TypeScript","2026-02-28T21:17:22Z","https://github.com/modelcontextprotocol/servers"
"automation","true","FoundationAgents/MetaGPT","64854","MIT","Python","2026-01-21T10:12:33Z","https://github.com/FoundationAgents/MetaGPT"
"automation","true","upstash/context7","48031","MIT","TypeScript","2026-03-07T00:26:08Z","https://github.com/upstash/context7"
"automation","true","run-llama/llama_index","47447","MIT","Python","2026-03-06T11:44:58Z","https://github.com/run-llama/llama_index"
"automation","true","TauricResearch/TradingAgents","31509","Apache-2.0","Python","2026-02-25T00:28:56Z","https://github.com/TauricResearch/TradingAgents"
"automation","true","wshobson/agents","30483","MIT","Python","2026-03-07T15:57:59Z","https://github.com/wshobson/agents"
"eq_companion","true","moeru-ai/airi","30441","MIT","TypeScript","2026-03-07T18:29:10Z","https://github.com/moeru-ai/airi"
"automation","true","microsoft/playwright-mcp","28377","Apache-2.0","TypeScript","2026-03-05T02:38:40Z","https://github.com/microsoft/playwright-mcp"
"automation","true","github/github-mcp-server","27601","MIT","Go","2026-03-06T14:50:08Z","https://github.com/github/github-mcp-server"
"automation","true","langchain-ai/langgraph","25803","MIT","Python","2026-03-07T01:06:49Z","https://github.com/langchain-ai/langgraph"
"automation","true","deepset-ai/haystack","24425","Apache-2.0","MDX","2026-03-07T12:00:44Z","https://github.com/deepset-ai/haystack"
"automation","true","PrefectHQ/fastmcp","23482","Apache-2.0","Python","2026-03-07T17:32:10Z","https://github.com/PrefectHQ/fastmcp"
"automation","true","apify/crawlee","22079","Apache-2.0","TypeScript","2026-03-06T18:43:09Z","https://github.com/apify/crawlee"
"other","true","modelcontextprotocol/python-sdk","22007","MIT","Python","2026-03-06T17:34:56Z","https://github.com/modelcontextprotocol/python-sdk"
"automation","false","mastra-ai/mastra","21782","NOASSERTION","TypeScript","2026-03-07T18:14:49Z","https://github.com/mastra-ai/mastra"
"automation","true","oraios/serena","21130","MIT","Python","2026-03-07T11:48:57Z","https://github.com/oraios/serena"
"automation","false","activepieces/activepieces","21115","NOASSERTION","TypeScript","2026-03-07T18:19:13Z","https://github.com/activepieces/activepieces"
"automation","true","openai/swarm","21093","MIT","Python","2025-03-11T17:27:22Z","https://github.com/openai/swarm"
"automation","false","Skyvern-AI/skyvern","20700","AGPL-3.0","Python","2026-03-07T15:38:51Z","https://github.com/Skyvern-AI/skyvern"
"automation","true","ruvnet/ruflo","19719","MIT","TypeScript","2026-03-06T00:26:03Z","https://github.com/ruvnet/ruflo"
"automation","true","openai/openai-agents-python","19402","MIT","Python","2026-03-07T11:23:17Z","https://github.com/openai/openai-agents-python"
"automation","false","humanlayer/12-factor-agents","18577","NOASSERTION","TypeScript","2025-09-21T14:37:40Z","https://github.com/humanlayer/12-factor-agents"
"automation","true","eosphoros-ai/DB-GPT","18216","MIT","Python","2026-03-05T04:53:06Z","https://github.com/eosphoros-ai/DB-GPT"
